#			1
PWJI   58.10    1.000   S
SMRI   59.40    1.000   S
SWJI   63.40    1.000   S
#			74
PWJI   23.90    1.000   P
SWJI   24.70    1.000   P
PCJI   28.00    1.000   P
GRJI   28.10    1.000   P
GMJI   28.70    1.000   P
TBJI   29.00    1.000   P
WOJI   29.90    1.000   P
JAGI   35.50    1.000   P
KMMI   36.30    1.000   P
SMRI   37.10    1.000   P
PWJI   42.00    1.000   S
SWJI   44.00    1.000   S
SCJI   48.90    1.000   P
PCJI   49.20    1.000   S
GRJI   49.80    1.000   S
CTJI   50.80    1.000   P
TBJI   51.80    1.000   S
KPJI   53.00    1.000   P
#			75
GMJI   23.30    1.000   P
JAGI   26.50    1.000   P
PWJI   29.10    1.000   P
BLJI   31.30    1.000   P
BYJI   31.30    1.000   P
SWJI   34.30    1.000   P
PCJI   35.50    1.000   P
WOJI   40.70    1.000   P
NGJI   41.10    1.000   P
GRJI   41.80    1.000   P
BLJI   54.80    1.000   S
#			76
GMJI   23.10    1.000   P
JAGI   27.50    1.000   P
PWJI   29.20    1.000   P
BLJI   33.00    1.000   P
PCJI   33.60    1.000   P
SWJI   34.30    1.000   P
NGJI   43.20    1.000   P
GRJI   43.30    1.000   P
JAGI   48.30    1.000   S
PWJI   50.90    1.000   S
#			77
WOJI   8.20    1.000   P
WOJI   12.80    1.000   S
PCJI   13.70    1.000   P
PWJI   23.10    1.000   P
PCJI   23.60    1.000   S
PWJI   39.40    1.000   S
#			78
PWJI   17.70    1.000   P
SWJI   18.50    1.000   P
PCJI   20.60    1.000   P
WOJI   23.60    1.000   P
PWJI   29.70    1.000   S
SWJI   33.50    1.000   S
PCJI   34.10    1.000   S
JAGI   35.90    1.000   P
WOJI   39.50    1.000   S
JAGI   63.20    1.000   S
#			79
PWJI   16.30    1.000   P
SWJI   19.00    1.000   P
PCJI   21.10    1.000   P
PWJI   29.00    1.000   S
PCJI   35.30    1.000   S
#			80
GMJI   17.90    1.000   P
PWJI   19.20    1.000   P
SWJI   21.20    1.000   P
BLJI   21.60    1.000   P
GRJI   24.70    1.000   P
PCJI   25.90    1.000   P
JAGI   26.20    1.000   P
NGJI   26.70    1.000   P
ABJI   28.00    1.000   P
